Site,Week Before Last (%),Last 7 Days (%)
DT-GGN,100,100
Forum,100,100
Cyr Hub,100,100
Cyr Green,100,100
Cyr Park,100,100
BLD-14,100,100
BLD-10,100,100
BLD-09,100,100
BLD-08,100,100
BLD-07,100,100
BLD-06,100,100
BLD-05,100,100
Gateway,100,100
Infinity,99,99
